TemplateID	LmQuery	Query
44304	анафилактический ошибка совет статья шок	статья анафилактический шок ошибки советы
44304	анафилактический ошибка шок	ошибки анафилактический шок
44878	все кровообращение мозговой нарушение острый	кровообращения мозгового нарушение острое все
44878	весь документ кровообращение мозговой нарушение острый	нарушение мозгового кровообращения острое все документы
398294	диабет лечение сахарный шаблон	сахарный диабет шаблон лечение
401640	заболевание постковидный ревматоидный синдром	ревматоидные заболевания при постковидном синдроме
401640	постковидный синдром суставный	Постковидный суставной синдром
398293	диабет лечение приказ сахарный	приказы сахарный диабет лечение
398293	диабет лечение приказ сахарный стандарт утверждение	приказы по утверждению стандартов по лечению сахарного диабета
398291	взрослый диабет инсулинзависимое инсулиннезависимый качество критерий медицинский помощь сахарный специализированный	Критерии качества специализированной медицинской помощи взрослым при сахарном диабете/инсулиннезависимом/инсулинзависимом
398291	диабет качество критерий помощь сахарный специализированный	критерии качества специализированной помощи при сахарном диабете
398291	диабет качество критерий неинсулинзависисмо	критерии качества при диабете неинсулинзависисмом
398291	диабет инсулинзависимое качество критерий	критерии качества при диабете инсулинзависимом
398292	диабет помощь сахарный стандарт	стандарты помощи при диабете сахарном
398292	диабет инсулиннезависимый стандарт	инсулиннезависимый диабет стандарт
398292	диабет инсулинзависимое помощь стандарт	стандарт помощи при инсулинзависимом диабете
398296	диабет инсулинзависимый поражение почка сахарный	почек поражение сахарный диабет инсулинзависимый
398296	1 диабет поражение почка сахарный тип	почек поражение при сахарном диабете 1 типа
398310	2 го диабет сахарный тип	Сахарный диабет 2-го типа
398310	диабет инсулиннезависимый сахарный	диабет инсулиннезависимый сахарный
398310	2 сд тип	СД 2 типа
400769	постковидный синдром	Постковидный синдром
400769	документ комплект постковидный синдром	Постковидный синдром комплект документов
401336	взрослый постковидный синдром	Постковидный синдром у взрослых
401336	взрослый клинический постковидный рекомендация синдром	Постковидный синдром у взрослых  клиническая рекомендация
401338	постковидный ребенок синдром	Постковидный синдром у детей
401338	клинический постковидный ребенок рекомендация синдром	Постковидный синдром у детей клиническая рекомендация
401641	лечить постковидный синдром	Как лечить постковидный синдром
401641	лечение постковидный синдром	лечение постковидного синдрома
404684	клинический ком неясный рекомендация этиология	кома неясной этиологии клинические рекомендации
404684	ком неясный стандарт этиология	кома неясной этиологии стандарты
430701	инсульт помощь специализированный стандарт	специализированной помощи стандарты инсульт
430701	онмк помощь специализированный стандарт	специализированной помощи стандарты ОНМК
430701	кровообращение мозговой нарушение острый помощь специализированный стандарт	специализированной помощи стандарты острое нарушение мозгового кровообращения
430701	инсульт медицинский оказание помощь стандарт	стандарты оказания медицинской помощи инсульт
434594	бронхит лечение острый протокол	протокол лечения острого бронхита
434594	бронхит период протокол эпидемия	протокол бронхит в период эпидемии
434594	бронхит ведение микоплазменный обструктивный протокол ребенок этиология	протокол ведения обструктивного бронхита микоплазменной этиологии у детей
440684	аппендицит взрослый диагностика	аппендицит у взрослых диагностика
440684	аппендицит диагностика	аппендицит диагностика
445125	вакцина инфекция пневмококковый	вакцины пневмококковая инфекция
445125	вакцина пневмококк	пневмококк вакцина
446387	артрит лечение псориатический стандарт	лечение псориатического артрита стандарт
446387	псориаз стандарт	стандарт псориаз
446388	пациент псориаз	Информация для пациентов по псориазу
446388	памятка пациент псориаз	псориаз памятка для пациента
424190	клинический лимфом рекомендация ходжкин	клинические рекомендации по лимфоме ходжкина
424190	взрослый лимфом ходжкин	лимфома ходжкина у взрослых
424190	лимфом ходжкин	лимфома ходжкина
44293	анафилактический введение сыворотка шок	анафилактический шок введение сыворотка
44293	анафилактический вакцина введение шок	анафилактический шок введение вакцина
410608	качество критерий оценка холецистит	критерии оценки качества при холецистите
410608	качество критерий медпомощь оценка холецистит	критерии оценки качества медпомощи при холецистите
446389	весь диагноз документ псориаз	Псориаз все документы по диагнозу
446389	диагноз перечень полный псориаз	псориаз полный перечень по диагнозу
448776	кр ребенок чума	КР чума у детей
448776	клинрекомендация ребенок чума	дети чума клинрекомендация
448776	клинический ребенок рекомендация чума	Клиническая рекомендация Чума у детей
450203	ведение диабет лист пациент с сахарный чек	Чек-листы по ведению пациента с сахарным диабетом
450203	диабет лист сахарный чек	по сахарному диабету чек-лист
455622	атопический ведение дерматит протокол ребенок с	ведение ребенка с атопическим дерматитом протокол
456501	рак	рак
456501	онколог	онколог
459799	колика лечение почечный	лечение почечная колика
459799	колика лечить почечный	почечную колику лечить как
460411	колит хронический	Хронический колит
460411	атрофический колит хронический	атрофический колит хронический
460320	шаблон энтерит	энтерит шаблон
460320	гастроэнтероколит осмотр шаблон	Шаблоны осмотра при гастроэнтероколите
460320	гастрит осмотр шаблон	гастрит шаблоны осмотра
460521	инфаркт острый скорый стандарт	стандарт скорой при остром инфаркте
460521	инфаркт миокард первичный специализированный стандарт	стандарт первичной специализированной инфаркт миокарда
460521	st без и инфаркт медицинский миокард нестабильный остер повторный подъем помощь сегмент специализированный стандарт стенокардия утверждение электрокардиограмма	об утверждении стандарта специализированной медицинской помощи при нестабильной стенокардии, остром и повторном инфаркте миокарда (без подъема сегмента st электрокардиограммы)
460412	аллергический колит	Колит аллергический
456502	радиотерапевт	радиотерапевт
456502	радиотерапия	радиотерапия
455623	дерматит лечение протокол	протокол по лечению дерматита
455623	дерматит лечение протокол ребенок с	протокол лечения ребенка с дерматитом
454633	гипертермический синдром	Гипертермический синдром
454633	гипертермический определение синдром	Гипертермический синдром определение
454633	гипертермический синдром это	Гипертермический синдром это
450879	вакцинация приказ	приказ по вакцинации
450879	вакцинация врач документ перечень полный	вакцинация: полный перечень документов для врача
450879	вакцинация весь приказ	все приказы по вакцинации
445499	вакцинация медицинский отвод	медицинский отвод от вакцинации
445499	вакцинация медотвод	вакцинация медотвод
443729	качество критерий медпомощь оценка сальпингоофорит	Критерии оценки качества медпомощи при сальпингоофорите
443729	воспалительный заболевание качество критерий малый орган таз	Критерии качества при воспалительных заболеваниях органов малого таза
440849	качество критерий панкреатит хронический	критерии качества хронический панкреатит
440849	качество критерий медпомощь острый оценка панкреатит	критерии оценки качества медпомощи острый панкреатит
440849	качество критерий острый оценка панкреатит	критерии оценки качества острый панкреатит
440849	качество критерий панкреатит	критерии качества панкреатит
438353	аллергический крапивница терапия	терапия аллергической крапивница
438353	крапивница терапия	терапия крапивница
410612	оказание помощь протокол холецистит	протокол оказание помощи холецистит
410612	лечение протокол холецистит	протокол лечения холецистита
410613	лист холецистит чек	чек-лист при холецистите
410613	больной лист операция пост холецистит чек	чек-лист пост операция больных холецистит
430716	качество критерий кровообращение мозговой нарушение острый	острое нарушение мозгового кровообращения критерии качества
430716	критерий медицинский онмк помощь специализированный	ОНМК критерии специализированной медицинской помощи
440685	аппендицит взрослый лечение	аппендицит у взрослых лечение
440685	аппендицит лечение	аппендицит лечение
459179	и ошибка сепсис совет	сепсис: ошибки и советы
459179	сепсис статья	статья по сепсису
493038	9 e03 мкб	мкб E03.9
493038	03 9 e гипотиреоз неуточненный	E 03.9 Гипотиреоз неуточненный
493038	03 9 e	E 03.9
499557	iv ребенок режим туберкулез химиотерапия	IV режим химиотерапии туберкулеза у детей
499557	ребенок режим туберкулез химиотерапия четвертый	четвертый режим химиотерапии туберкулеза у детей
499558	v ребенок режим туберкулез химиотерапия	V режим химиотерапии туберкулез дети
499558	пятый ребенок режим туберкулез химиотерапия	пятый режим химиотерапии туберкулеза у детей
499567	лечение протокол ребенок туберкулез	протоколы по лечению туберкулеза у детей
499567	взрослый лечение протокол туберкулез	Протоколы по лечению туберкулеза у взрослых
493039	5 54 v	V 54.5
493039	5 54 v мкб	мкб V 54.5
490183	0 o70	O70.0
490183	0 o70 мкб	МКБ O70.0
490184	9 k29	K29.9
490184	29 9 k мкб	МКБ K 29.9
466672	клинический отсталость рекомендация умственный	отсталость умственная клинические рекомендации
466672	кр отсталость умственный	КР умственная отсталость
459180	артерия взрослый качество критерий медицинский помощь специализированный тромбоз	Критерии качества специализированной медицинской помощи взрослым при тромбозе артерий
459180	артерия взрослый качество критерий медицинский помощь тромбоз	Критерии качества медицинской помощи взрослым при тромбозе артерий
459181	вена сетчатка тромбоз	Тромбоз вен сетчатки
459181	вена клинический рекомендация сетчатка тромбоз	Тромбоз вен сетчатки клиническая рекомендация
455488	деменция клинический рекомендация	клинические рекомендации деменция
456503	педиатр хирург	хирург-педиатр
456503	детский хирург	детский хирург
445507	анатоксин ас введение	Введение АС-анатоксина
445507	анатоксин очищать применение столбнячный	анатоксин столбнячный очищенный применение
445507	асс вакцинация	асс вакцинация
44294	анафилактический рекомендация шок	рекомендация анафилактический шок
44294	анафилаксия клин рекомендация	клин рекомендация анафилаксия
44294	анафилактический клинрекомендация шок	клинрекомендация анафилактический шок
44294	анафилаксия рекомендация	рекомендация анафилаксия
410614	холецистит хронический	холецистит хронический
410614	жкб калькулезный холецистит хронический	жкб хронический калькулезный холецистит
44295	анафилактический терапия шок экстренный	экстренная терапия анафилактический шок
44295	анафилактический лечение шок	анафилактический шок лечение
410607	лечение холецистит хронический	хронический холецистит лечение
410607	терапия холецистит хронический	хронический холецистит терапия
410610	воспаление желчный пузырь	воспаление желчного пузыря
410610	некалькулезный холецистит	некалькулезный холецистит
410611	лечение острый холецистит	острый холецистит лечение
410611	острый терапия холецистит	острый холецистит терапия
410611	лечение холецистит	холецистит лечение
410615	клинический рекомендация холецистит	холецистит клиническая рекомендация
410615	клинический острый рекомендация холецистит	острый холецистит клиническая рекомендация
410616	острый стандарт холецистит	острый холецистит стандарты
410616	медицинский помощь стандарт холецистит	стандарты медицинской помощи при холецистите
410616	калькулезный стандарт холецистит	стандарт при калькулезном холецистите
410617	острый холецистит	холецистит острый
410617	калькулезный острый холецистит	острый калькулезный холецистит
430506	вторичный документ жда подборка	Подборка документов по вторичной ЖДА
430506	анемия железодефицитный кровь потеря хронический	хроническая железодефицитная анемия потеря крови
437490	оповещение схема холера	схема оповещения при холере
437490	алгоритм больной выявление действие и медицинский оповещение персонал подозрение с схема чума	схемы оповещения и алгоритмы действий медицинского персонала при выявлении больного с подозрением на чуму
437490	инфекция опасный оповещение особо схема	схема оповещения при особо опасных инфекциях
437490	больной выявление подозрительный схема	схема информации при выявлении подозрительного больного
441673	беременный онмк	беременные ОНМК
441673	беременный геморрагический инсульт	беременные инсульт геморрагический
441673	беременный кровообращение мозговой нарушение острый	беременные острое нарушение мозгового кровообращения
411500	диспансеризация ковид	диспансеризация ковид
411500	19 covid диспансеризация углублять	углубленная диспансеризация COVID-19
426024	беременный диабет качество критерий медицинский оказание оценка помощь с	критерии оценки качества оказания медицинской помощи беременным с диабетом
426024	беременный диабет качество критерий	критерии качества при диабете у беременных
426024	беременный диабет качество критерий оказание помощь с	качества критерии при оказании помощи беременным с диабетом
430486	анемия диагностический железодефицитный комплекс обследование	обследований комплекс диагностический анемия железодефицитная
430486	анемия диагностика железодефицитный	анемия железодефицитная диагностика
430486	анемия диагностический железодефицитный комплекс	комплекс диагностический железодефицитная анемия
434643	больной бронхит медицинский обструктивный оказание помощь стандарт хронический	стандарт оказания медицинской помощи больным хроническим обструктивным бронхитом
434643	бронхит оказание острый ребенок стандарт	острый бронхит у детей стандарт оказания
434643	бронхит документ лечение нормативный правовой	нормативно-правовые документы по лечению бронхита
445868	лямблиоз определение	определение лямблиоза
445868	лямблиоз	лямблиоз
445868	лямблиоз это	лямблиоз это
450567	лечение протокол эпилепсия	протоколы по лечению эпилепсии
450567	протокол эпилепсия	по эпилепсии протоколы
455624	дерматит осмотр шаблон	дерматит шаблон осмотра
459849	голова открытый рана	рана головы открытая
459850	профилактика ребенок туберкулез	туберкулез профилактика дети
459850	вакцинация ребенок туберкулез	вакцинация туберкулез дети
459850	вакцинация новорожденный туберкулез	вакцинация туберкулез новорожденные
445874	беременность клинрекомендация нормальный	нормальная беременность клинрекомендация
445874	беременность клин нормальный рекомендация	нормальная беременность клин рекомендация
445874	беременность клинический нормальный рекомендация	нормальная беременность клиническая рекомендация
425710	hellp беременность синдром	HELLP-синдром при беременности
425710	help синдром	HELP синдром
430514	анемия железодефицитный кишка лечение операция после тонкий	Лечение железодефицитной анемии после операции на тонкой кишке
430514	анемия железодефицитный кишка лечение операция тонкий	тонкая кишка операция лечение анемии железодефицитной
436679	врожденный лечение порок сердце стандарт	стандарт лечения врожденных пороков сердца
436679	медицинский помощь порок сердце стандарт	стандарт медицинской помощи при пороках сердца
440705	аппендицит больной ведение острый протокол	протокол ведения больной острый аппендицит
440705	аппендицит оказание помощь	оказание помощи аппендицит
440705	аппендицит лечение протокол	протокол лечения аппендицит
440705	аппендицит оказание помощь протокол	протокол оказание помощи аппендицит
445620	экстрагенитальный эндометриоз	эндометриоз экстрагенитальный
445619	клинический рекомендация экстрагенитальный эндометриоз	Клинические рекомендации по экстрагенитальному эндометриозу
445619	клин рекомендация экстрагенитальный эндометриоз	Клин рекомендации по экстрагенитальному эндометриозу
445619	клинрекомендация экстрагенитальный эндометриоз	Клинрекомендации по экстрагенитальному эндометриозу
450568	артрит и лечение протокол псориаз псориатический	протокол по лечению псориаза и псориатического артрита
450568	протокол псориаз	протокол псориаз
450568	артрит протокол псориатический	псориатический артрит протоколы
455625	дерматит медицинский помощь стандарт	стандарт медицинской помощи при дерматите
455625	дерматит помощь стандарт	дерматит стандарт помощи
456509	детский психиатр страница	страница детского психиатра
456509	педиатр психиатр	педиатр-психиатр
456508	офтальмолог страница	страница офтальмолога
456508	офтальмология	офтальмология
459918	диагностировать колика печеночный	печеночную колику диагностировать как
459918	диагностика колика печеночный	колика печеночная диагностика
459959	колика лечить младенец	колики младенец лечить как
459959	колика лечение младенческий	колики младенческие лечение
459959	колика лечить младенческий	как лечить младенческие колики
460762	колит определение псевдомембранозный	Псевдомембранозный колит определение
460762	антибиотик ассоциированный колит	антибиотик ассоциированный колит
460762	антибиотикоассоциировать колит	колит антибиотикоассоциированный
489919	ведение двенадцатиперстный желудок и кишка лист пациент с чек язва	чек-листы ведения пациентов с язвой желудка и двенадцатиперстной кишки
489919	двенадцатиперстный желудок и кишка лист чек язва	чек-лист  язва желудка и двенадцатиперстной кишки
493040	e05	E05
493040	05 e тиреотоксикоз	E 05 Тиреотоксикоз
493040	e05 мкб	мкб E05
499568	ведение лист пациент с туберкулез чек	чек-листы по ведению пациента с туберкулезом
499568	ведение лист туберкулез чек	туберкулез чек-лист ведения
499568	лист туберкулез чек	чек-лист туберкулез
521245	гбн ребенок	дети ГБН
521245	боль головной напряжение ребенок	Головная боль напряжения у детей
521246	клинрекомендация мигрень подросток	подростки мигрень клинрекомендации
521246	и кр мигрень подросток ребенок	КР мигрень дети и подростки
521246	клинрекомендация лечение мигрень ребенок	клинрекомендации по лечению мигрени у детей
521246	и клинический лечение мигрень подросток ребенок рекомендация	клиническая рекомендация по лечению мигрени у детей и подростков
507361	621 приказ	приказ №621
507361	группа здоровье приказ	приказ по группам здоровья
507361	12 2003 30 621 минздрав приказ россия	Приказ Минздрава России от 30.12.2003 № 621
507361	здоровье комплексный оценка приказ ребенок состояние	приказ о комплексной оценке состояния здоровья детей
499569	осмотр туберкулез шаблон	шаблоны осмотра при туберкулезе
499569	туберкулез шаблон	Шаблоны туберкулез
478546	анемия	что такое анемия
478546	анемия это	анемия что это такое
478546	анемия определение	анемия определение
436680	врожденный качество критерий порок сердце	критерии качества при врожденных пороках сердца
436680	врожденный качество критерий медпомощь порок сердце	критерии качества медпомощи при врожденных пороках сердца
436680	врожденный качество критерий медицинский помощь порок сердце	критерии качества медицинской помощи при врожденных пороках сердца
431003	гипертония ля памятка пациент с	памятка ля пациента с гипертонией
431003	ага ля памятка пациент с	памятка ля пациента с АГ
431003	артериальный гипертензия пациент с	информация для пациента с артериальной гипертензией
440182	атака и инсульт ишемический транзиторный	инсульт ишемический и транзиторная атака
440182	и инсульт ишемический тиа	ТИА и инсульт ишемический
445176	иммунизация плановый столбняк схема	иммунизация плановая схемы от столбняка
445176	вакцинопрофилактика плановый столбняк	вакцинопрофилактика столбняка плановая
445875	беременность тест	беременность тест
445875	беременность мочевой тест	Мочевой тест на беременность
445875	беременность тест экспресс	экспресс-тест на беременность
466968	кандидозный определение стоматит	Определение кандидозного стоматита
466968	кандидозный стоматит это	стоматит кандидозный это
466968	кандидозный стоматит	что такое кандидозный стоматит
471967	кр тетрада фалло	тетрада фалло кр
471967	клинический рекомендация тетрада фалло	клинические рекомендации по тетраде фалло
471967	лечение тетрада фалло	лечение тетрады фалло
471967	тетрада фалло	Тетрада Фалло
480398	аутоиммунный код мкб10 тиреоидит	Аутоиммунный тиреоидит код МКБ10
480398	3 e06	E06.3
493041	07 9 e болезнь железа неуточненный щитовидный	E 07.9 Болезнь щитовидной железы неуточненная
493041	9 e07 мкб	мкб E07.9
493041	9 e07	E07.9
499570	качество критерий медицинский помощь туберкулез	критерии качества медицинской помощи при туберкулезе
499570	качество критерий туберкулез	туберкулез критерии качества
493042	06 2 e	E 06.2
493042	06 2 e преходящий с тиреоидит тиреотоксикоз хронический	E 06.2 Хронический тиреоидит с преходящим тиреотоксикозом
493042	06 2 e мкб	мкб E 06.2
458797	детский инфекция медицинский помощь стандарт	Стандарты медицинской помощи при детских инфекциях
458797	детский инфекция стандарт	детские инфекции стандарт
454254	аутизм приказ	приказы аутизм
454254	аутизм медпомощь пациент с стандарт	стандарты медпомощи пациентам с аутизмом
454254	аутизм медпомощь специализированный стандарт	стандарты специализированной медпомощи при аутизме
440707	осмотр панкреатит первичный хронический	первичный осмотр при хроническом панкреатите
440707	панкреатит шаблон	шаблоны панкреатит
436681	ведение врожденный пациент порок протокол с сердце	протоколы ведения пациентов с врожденными пороками сердца
436681	врожденный лечение порок протокол сердце	протоколы лечения врожденных пороков сердца
430516	анемия желудок резекция	анемия резекция желудка
430516	анемия желудок после резекция	Анемия после резекции желудка
