sys	id	query	lem_query
1	557302	проект рсв за 9 месяцев	проект рсв за 9 месяц
1	557322	в обособленном подразделении не используют основные средства, как распределить налог на прибыль	в обособленный подразделение не использовать основной средство как распределять налог на прибыль
1	557322	как определить долю прибыли обособленного подразделения с ос	как определять доля прибыль обособленный подразделение с ос
1	557322	как рассчитать долю прибыли обособленного подразделения с основными средствами и сотрудниками	как рассчитать доля прибыль обособленный подразделение с основный средство и сотрудник
1	557322	как считать остаточную стоимость основных средств для прибыли обособленного подразделения на примерах	как считать остаточный стоимость основной средство для прибыль обособленный подразделение на пример
1	557322	пример как распределить прибыль между головным и обособленном подразделение, если в организации есть основные средства	пример как распределять прибыль между головной и обособленный подразделение если в организация быть основной средство
1	557322	расчет средней остаточной стоимости амортизируемого имущества для расчета налога на прибыль обособленного подразделения	расчет средний остаточный стоимость амортизировать имущество для расчет налог на прибыль обособленный подразделение
1	491801	проценты за пользование чужими транспортными средствами	процент за пользование чужой транспортный средство
1	491804	задаток	задаток
1	459060	применение ккт ип без персонала	применение ккт ипать без персонал
1	459060	кассовый аппарат у предпринимателя без сотрудников	кассовый аппарат у предприниматель без сотрудник
1	459060	индивидуальный предприниматель без сотрудников пробивает чек	индивидуальный предприниматель без сотрудник пробивать чек
1	459060	ип без работников ккт	ипать без работник ккт
1	459066	ошибки при работе с ккт	ошибка при работа с ккт
1	557373	упрощенный имущественный вычет	упрощенный имущественный вычет
1	524616	достаточно ли подшить к протоколу о крупной сделке сам контракт	достаточно ли подшивать к протокол о крупный сделка сам контракт
1	524616	какие должны быть приложения к протоколу о крупной сделке	какой должный быть приложение к протокол о крупный сделка
1	524616	образцы корпоративных документов для одобрения крупной сделки в ооо	образец корпоративный документ для одобрение крупный сделка в ооо
1	524616	как в ао получить согласие на совершение или последующее одобрение крупной сделки	как в ао получать согласие на совершение или последующий одобрение крупный сделка
1	524616	документы для крупной сделки АО	документ для крупный сделка ао
1	557386	изменения по выдачи сиз	изменение по выдача сизый
1	557386	изменения в сиз с 1 сентября 2023	изменение в сизый с 1 сентябрь 2023
1	33103	исковая давность споры о невыплате заработной платы	исковой давность спор о невыплата заработный плата
1	33103	сроки подачи иска о взыскании заработной платы	срок подача иск о взыскание заработный плата
1	524631	в какой срок надо одобрять крупную сделку	в какой срок надо одобрять крупный сделка
1	557401	объекты основных средств обособленного подразделения сдаются в аренду расчет доли налога на прибыль	объект основный средство обособленный подразделение сдаваться в аренда расчет доля налог на прибыль
1	557401	стоимость имущества переданного в пользование при расчете доли прибыли обособленного подразделения	стоимость имущество передавать в пользование при расчет доля прибыль обособленный подразделение
1	557401	счет 03 для расчета доли прибыли по обособленному подразделению	счет 03 для расчет доля прибыль по обособленный подразделение
1	557401	лизинговые имущество при расчете налога на прибыль обособленного подразделения	лизинговый имущество при расчет налог на прибыль обособленный подразделение
1	557404	авансовые платежи по ногу на прибыль обособленные подразделения	авансовый платеж по нога на прибыль обособленный подразделение
1	557404	авансы по налогу на прибыль в обособленное подразделение разные регионы 2023 год	аванс по налог на прибыль в обособленный подразделение разный регион 2023 год
1	557404	авансы по прибыли по обособленному подразделению	аванс по прибыль по обособленный подразделение
1	557404	ежемесячные авансовые платежи по налогу на прибыль по обособкам за 1 квартал 2023	ежемесячный авансовый платеж по налог на прибыль по обособка за 1 квартал 2023
1	557404	если прибыль в квартал больше 15 миллионов как распределить авансовые платежи вместе с обособленным подразделением	если прибыль в квартал много 15 миллион как распределять авансовый платеж вместе с обособленный подразделение
1	557411	бухгалтерская справка по расчету доли прибыли приходящейся на обособленное подразделение	бухгалтерский справка по расчет доля прибыль приходиться на обособленный подразделение
1	491876	как исправить бухгалтерскую отчетность в текущем периоде ошибка	как исправлять бухгалтерский отчетность в текущий период ошибка
1	491876	можно ли исправить ошибки в текущем периоде	можно ли исправлять ошибка в текущий период
1	491876	как исправить ошибку в бухучете в текущем периоде	как исправлять ошибка в бухучет в текущий период
1	491876	ошибка текущего года до окончания отчетного года	ошибка текущий год до окончание отчетный год
1	491877	как исправить бухгалтерскую отчетность в текущем периоде после 31 декабря	как исправлять бухгалтерский отчетность в текущий период после 31 декабрь
1	491877	можно ли исправить ошибки в текущем периоде после окончания отчетного года	можно ли исправлять ошибка в текущий период после окончание отчетный год
1	491877	как исправить в бухучете ошибку текущего периода	как исправлять в бухучет ошибка текущий период
1	557414	обособленное подразделение, через которое организация не платит налог на прибыль	обособленный подразделение через который организация не платить налог на прибыль
1	557414	выбор ответственного обособленного подразделения по прибыли	выбор ответственный обособленный подразделение по прибыль
1	557414	обособленные подразделения в пределах одного муниципального образования налог на прибыль	обособленный подразделение в предел один муниципальный образование налог на прибыль
1	557414	оплата налога на прибыль по голове а не по обособке	оплата налог на прибыль по голова а не по обособка
1	557414	голова и обособка в одной ифнс налог на прибыль	голова и обособка в один ифнс налог на прибыль
1	557414	прибыль обособленного подразделения в другом субъекте федерации	прибыль обособленный подразделение в другой субъект федерация
1	557414	прибыль обособленное подразделение в другом регионе	прибыль обособленный подразделение в другой регион
1	557414	сроки выбора места уплаты налога на прибыль за обособку	срок выбор место уплата налог на прибыль за обособка
1	557414	нужно ли делить налог на прибыль если головное предприятие и обособленное подразделение находятся в одном регионе	нужно ли делить налог на прибыль если головной предприятие и обособленный подразделение находиться в один регион
1	557415	налог на прибыль для вновь созданных обособленных подразделений	налог на прибыль для вновь создавать обособленный подразделение
1	459144	обзор изменений по годам	обзор изменение по год
1	557449	срок возмещения расходов на ребенка-инвалида	срок возмещение расход на ребенок инвалид
1	557449	сколько дней возмещают расходы на отпуск дополнительный на дете-инвалидов	сколько день возмещать расход на отпуск дополнительный на дет инвалид
1	557449	дни для возмещения на ребенка-инвалида	день для возмещение на ребенок инвалид
1	524684	налог на землю при усн в 2023 году для юридических	налог на земля при усна в 2023 год для юридический
1	524684	льгота по налогу на землю юридического лица на усн	льгота по налог на земля юридический лицо на усна
1	524684	усн и налог на землю	усна и налог на земля
1	557450	срок передачи документов в фонд на возмещение расходов на оплату дополнительных оплачиваемых выходных дней для ухода за детьми-инвалидами	срок передача документ в фонд на возмещение расход на оплата дополнительный оплачивать выходной день для уход за ребенок инвалид
1	557450	документы ,предоставляемые работником своему работодателю о предоставлении дополнит оплачиваемых выходных дней по уходу за детьми инвалидами	документ предоставлять работник свой работодатель о предоставление дополнять оплачивать выходной день по уход за ребенок инвалид
1	557458	ип сроки уплаты налогов и взносов	ипать срок уплата налог и взнос
1	557458	сроки уплаты налогов и взносов в 2023	срок уплата налог и взнос в 2023
1	557459	сумма недоплаты налога, с которой наступает уголовная ответственность	сумма недоплата налог с который наступать уголовный ответственность
1	557460	административная ответственность за неуплату налогов	административный ответственность за неуплата налог
1	557461	штраф за неуплату налога по уточненной декларации	штраф за неуплата налог по уточнять декларация
1	557461	штрафы для индивидуального предпринимателя за непредоставление деклараций и неуплату налогов	штраф для индивидуальный предприниматель за непредоставление декларация и неуплата налог
1	557461	штраф за неуплату налогов ИП	штраф за неуплата налог ипать
1	557463	кто вправе платить налоги	кто вправе платить налог
1	557469	считается ли налог уплаченным, если в платежном поручении допущена ошибка в октмо?	считаться ли налог уплачивать если в платежный поручение допускать ошибка в октмо
1	557469	как считаются пени за просрочку оплаты налогов в 2022 году	как считаться пеня за просрочка оплата налог в 2022 год
1	557469	обязанность по оплате налога считается исполненной	обязанность по оплата налог считаться исполнять
1	557469	дата оплаты налога считается	дата оплата налог считаться
1	557469	как считается срок оплаты налога по платежному поручению	как считаться срок оплата налог по платежный поручение
1	557470	есть или нет перенос сроков оплаты налогов и взносов за 2 полугодие 2020 г. пострадавшей отрасли	быть или нет перенос срок оплата налог и взнос за 2 полугодие 2020 г пострадать отрасль
1	557470	перенос сроков оплаты налога 1% с превышения 300000	перенос срок оплата налог 1 с превышение 300000
1	557470	перенос сроков оплаты налогов в связи с коронавирусом	перенос срок оплата налог в связь с коронавирус
1	557470	перенос сроков оплаты налога на имущество в 2020 году	перенос срок оплата налог на имущество в 2020 год
1	557471	куда платить налоги и взносы по обособленным подразделениям в 2023 году	куда платить налог и взнос по обособленный подразделение в 2023 год
1	557471	куда платить налоги и взносы по обособкам	куда платить налог и взнос по обособка
1	557471	уведомления об исчисленных налогах и взносах для обособленных подразделений	уведомление об исчислять налог и взнос для обособленный подразделение
1	557472	оплата налога третьим лицом какие проводки	оплата налог третий лицо какой проводка
1	557487	может ли в одной счет фактуре быть прослеживаемый и не прослеживаемый товар	может ли в один счет фактура быть прослеживать и не прослеживать товар
1	557487	покупка прослеживаемого товара счет-фактура покупатель	покупка прослеживать товар счет фактура покупатель
1	557487	счет фактура на монтажные работы с прослеживаемым товаром правила заполнения	счет фактура на монтажный работа с прослеживать товар правило заполнение
1	557487	можно ли счет-фактуру с прослеживаемым товаром показать в других периодах	можно ли счет фактура с прослеживать товар показывать в другой период
1	557487	счет фактура для прослеживаемого товара	счет фактура для прослеживать товар
1	557487	как и где выписывать электронные счета фактуры по прослеживаемым товарам	как и где выписывать электронный счет фактура по прослеживать товар
1	557489	книга продаж. регистрация счета-фактуры при реализации прослеживаемых товаров	книга продажа регистрация счет фактура при реализация прослеживать товар
1	557489	графа 20 книги продаж по прослеживаемым товарам	граф 20 книга продажа по прослеживать товар
1	557489	как заполнить книгу продаж по операциям с прослеживаемыми товарами	как заполнять книга продажа по операция с прослеживать товар
1	557490	не заполнили в книге покупок по прослеживаемому товару пункты 16-19 .санкции	не заполнять в книга покупка по прослеживать товар пункт 16 19 санкция
1	557490	книга покупок при импорте прослеживаемых товаров	книга покупка при импорт прослеживать товар
1	557490	заполнение книги покупок по прослеживаемому товару купленному для себя	заполнение книга покупка по прослеживать товар купить для себя
1	557490	как отражать прослеживаемые товары в книге покупок	как отражать прослеживать товар в книга покупка
1	557490	как заполнить прослеживаемые товары в книге покупок перенести данные из счета фактуры	как заполнять прослеживать товар в книга покупка перенести данные из счет фактура
1	557490	новая книга покупок прослеживаемые товары	новый книга покупка прослеживать товар
1	557491	нужно ли сдавать журнал учета счетов-фактур неплательщики ндс с прослеживаемым товаров приобретенных у участников стран еаэс	нужно ли сдавать журнал учет счет фактура неплательщик ндс с прослеживать товар приобретать у участник страна еаэс
1	557492	вычет ндс при прослеживаемости	вычет ндс при прослеживаемость
1	557492	вычет ндс по прослеживаемому товару	вычет ндс по прослеживать товар
1	557492	перенос вычета по прослеживаемым ос	перенос вычет по прослеживать ос
1	557493	прослеживаемость товаров продажа	прослеживаемость товар продажа
1	557494	ответ на требование по прослеживаемости	ответ на требование по прослеживаемость
1	557495	законодательство о прослеживаемости обязывает оформлять операции с прослеживаемыми товарами счетами-фактурами и упд в электронном виде прослеживаемых товаров у покупателя	законодательство о прослеживаемость обязывать оформлять операция с прослеживать товар счет фактура и упд в электронный вид прослеживать товар у покупатель
1	557495	прослеживаемый товар счет-фактура или упд	прослеживать товар счет фактура или упд
1	557495	теперь счета-фактуры и универсальные передаточные документы по прослеживаемым товарам представляются в электронном виде	теперь счет фактура и универсальный передаточный документ по прослеживать товар представляться в электронный вид
1	557495	упд и счет-фактура прослеживаемость	упд и счет фактура прослеживаемость
1	557503	пример оформления корректировочной счет-фактуры по прослеживаемым товарам	пример оформление корректировочный счет фактура по прослеживать товар
1	557503	корректировочный счет-фактура. продавец уменьшает стоимость прослеживаемых товаров	корректировочный счет фактура продавец уменьшать стоимость прослеживать товар
1	557503	корректировочный сф для прослеживаемых товаров	корректировочный сф для прослеживать товар
1	557503	форма корректировочной сф с 1 июля не прослеживаемого товара	форма корректировочный сф с 1 июль не прослеживать товар
1	557503	корректировочный счет-фактура прослеживаемый товар в книге покупок	корректировочный счет фактура прослеживать товар в книга покупка
1	557504	счет фактуры на аванс по прослеживаемым товарам	счет фактура на аванс по прослеживать товар
1	557506	что делать, если неверно указали номер прослеживаемости в упд	что делать если неверно указывать номер прослеживаемость в упд
1	557506	как исправить счет-фактуру по прослеживаемым товарам	как исправлять счет фактура по прослеживать товар
1	557506	исправительные счета фактуры прослеживаемость	исправительный счет фактура прослеживаемость
1	557506	продавец не указал данные в счет-фактуре по прослеживаемости как исправить	продавец не указывать давать в счет фактура по прослеживаемость как исправлять
1	557506	в счете-фактуре ошибочно реквизиты прослеживаемости в электронном счете фактуре	в счет фактура ошибочно реквизит прослеживаемость в электронный счет фактура
1	557506	как исправить декларацию если счета фактуры включены в отчет,но не указаны уау прослеживаемые товары	как исправлять декларация если счет фактура включать в отчет но не указывать уау прослеживать товар
1	557507	кто обязан применять новые формы и форматы счетов-фактур с учетом старта системы прослеживаемости товаров?	кто обязывать применять новый форма и формат счет фактура с учет старт система прослеживаемость товар
1	557507	в какой форме выставляются счета-фактуры при реализации товаров, подлежащих прослеживаемости?	в какой форма выставляться счет фактура при реализация товар подлежать прослеживаемость
1	557507	отличие формы счет-фактуры для прослеживаемых товаров	отличие форма счет фактура для прослеживать товар
1	557507	формат счет-фактуры с прослеживаемостью	формат счет фактура с прослеживаемость
1	557510	арендованное имущество включают в остаточную стоимость имущества обособленного подразделения для расчета налога на прибыль	арендовать имущество включать в остаточный стоимость имущество обособленный подразделение для расчет налог на прибыль
1	524747	реорганизация в форме присоединения действия главного бухгалтера	реорганизация в форма присоединение действие главный бухгалтер
1	524747	реорганизацию в форме присоединения	реорганизация в форма присоединение
1	524747	реорганизация d форме присоединения	реорганизация d форма присоединение
1	524747	реорганизация ф форме присоединения	реорганизация ф форма присоединение
1	524747	реорганизация в форме присоединения учет	реорганизация в форма присоединение учет
1	524748	реорганизация в форме присоединения оценка обязательств	реорганизация в форма присоединение оценка обязательство
1	524748	реорганизация в форме присоединения стоимость активов	реорганизация в форма присоединение стоимость актив
1	524750	реорганизации в форме присоединения как сдать баланс нужно составлять при реорганизации передаточный или разделительный	реорганизация в форма присоединение как сдавать баланс нужно составлять при реорганизация передаточный или разделительный
1	524750	нужно ли правопреемнику предоставить бухгалтерскую отчетность в налоговую на дату реорганизации в форме присоединения	нужно ли правопреемник предоставлять бухгалтерский отчетность в налоговый на дата реорганизация в форма присоединение
1	524751	необходимо ли заключать дополнительное соглашение к договору в случае реорганизации в форме присоединения	необходимо ли заключать дополнительный соглашение к договор в случай реорганизация в форма присоединение
1	524751	реорганизация в форме присоединения трудовые отношения	реорганизация в форма присоединение трудовой отношение
1	524751	при реорганизации в форме присоединения можно выплатить компенсацию за неиспользованный отпуск работнику который знает что его должности не будет у нового работодателя	при реорганизация в форма присоединение можно выплачивать компенсация за неиспользованный отпуск работник который знать что его должность не быть у новый работодатель
1	524751	реорганизация в форме присоединения компенсация за неиспользов.отпуск	реорганизация в форма присоединение компенсация за неиспольз отпуск
1	524752	перевод сотрудников при реорганизации в форме присоединения	перевод сотрудник при реорганизация в форма присоединение
1	524752	как перевести сотрудников в компанию правопреемника при реорганизации в форме присоединения	как перевести сотрудник в компания правопреемник при реорганизация в форма присоединение
1	524752	перевод штата в другую компанию при реорганизации в форме присоединения	перевод штат в другой компания при реорганизация в форма присоединение
1	524754	запись в трудовой книжке при реорганизации в форме присоединения	запись в трудовой книжка при реорганизация в форма присоединение
1	524755	увольнение директора при реорганизации в форме присоединения	увольнение директор при реорганизация в форма присоединение
1	524755	реорганизация в форме присоединения один ген директор	реорганизация в форма присоединение один ген директор
1	524755	при реорганизации в форме присоединения директорами обоих фирм является одно лицо	при реорганизация в форма присоединение директор оба фирма являться один лицо
1	524756	дополнительное соглашение к трудовому договору при реорганизации в форме присоединения в связи со сменой названия отдела	дополнительный соглашение к трудовой договор при реорганизация в форма присоединение в связь со смена название отдел
1	524756	дополнительное соглашение к трудовому договору реорганизация в форме присоединения	дополнительный соглашение к трудовой договор реорганизация в форма присоединение
1	524756	необходимо ли заключать дополнительное соглашение к договору в случае реорганизации в форме присоединения	необходимо ли заключать дополнительный соглашение к договор в случай реорганизация в форма присоединение
1	524753	когда увольнять сотрудников при реорганизации в форме присоединения	когда увольнять сотрудник при реорганизация в форма присоединение
1	524762	реорганизация в форме присоединения обособка	реорганизация в форма присоединение обособка
1	524772	согласие на распространение персональных данных от клиента организации	согласие на распространение персональный данные от клиент организация
1	33273	как оформить отпуск с последующим увольнением	как оформлять отпуск с последующий увольнение
1	33275	отпуск с последующим увольнением запись в трудовую книжку	отпуск с последующий увольнение запись в трудовой книжка
1	33276	трудовая книжка увольнение после отпуска	трудовой книжка увольнение после отпуск
1	33277	увольнение последним днем отпуска в выходной день	увольнение последний день отпуск в выходной день
